type,state,county,city,in_state_rate,out_state_rate,provider_company,date_created
LOCAL,AL,,BIRMINGHAM,$3.75,$3.15,viapath,07-20-22
LOCAL,AL,,EUFAULA,$3.15,$3.15,securus,07-20-22
LOCAL,AL,,FAIRHOPE,$3.00,$3.00,viapath,07-20-22
LOCAL,AL,,HOOVER,$3.37,$4.46,ics,07-20-22
LOCAL,AL,,MONTGOMERY,$3.15,$3.15,securus,07-20-22
LOCAL,AL,,SHEFFIELD,$3.15,$3.15,securus,07-20-22
LOCAL,AL,,TRUSSVILLE,$3.15,$3.15,securus,07-20-22
LOCAL,AL,,TUSCUMBIA,$3.15,$3.15,securus,07-20-22
LOCAL,AR,,LAKE VILLAGE,$3.15,$3.15,securus,07-20-22
LOCAL,AZ,,APACHE JUNCTION,$3.15,$3.15,viapath,07-20-22
LOCAL,AZ,,AVONDALE,$3.15,$3.15,viapath,07-20-22
LOCAL,AZ,,GLENDALE,$3.15,$3.15,viapath,07-20-22
LOCAL,AZ,,MESA,$2.25,$3.15,viapath,07-20-22
LOCAL,CA,,HEMET,$1.05,$1.05,securus,07-20-22
LOCAL,CA,,LOMPOC,$1.05,$1.05,securus,07-20-22
LOCAL,CO,,AURORA,$3.15,$3.15,securus,07-20-22
LOCAL,CO,,BROOMFIELD,$2.70,$2.70,securus,07-20-22
LOCAL,FL,,JACKSONVILLE,$4.20,$2.40,viapath,07-20-22
LOCAL,GA,,ACWORTH,$2.70,$3.15,viapath,07-20-22
LOCAL,GA,,ATLANTA,$2.70,$2.70,ics,07-20-22
LOCAL,GA,,EAST POINT,$3.15,$3.15,viapath,07-20-22
LOCAL,GA,,SMYRNA,$2.70,$3.15,securus,07-20-22
LOCAL,GA,,UNION CITY,$2.40,$2.40,securus,07-20-22
LOCAL,IL,,ALTON,$3.15,$3.15,securus,07-20-22
LOCAL,IL,,COLLINSVILLE,$3.15,$3.15,securus,07-20-22
LOCAL,IL,,GRANITE,$3.15,$3.15,securus,07-20-22
LOCAL,IN,,ELKHART,$3.15,$3.15,securus,07-20-22
LOCAL,KS,,BELOIT,$2.10,$2.10,ics,07-20-22
LOCAL,KS,,JUNCTION CITY,$2.10,$2.10,ics,07-20-22
LOCAL,KY,,LOUISVILLE,$1.35,$1.35,securus,07-20-22
LOCAL,LA,,BERWICK,$3.15,$3.15,securus,07-20-22
LOCAL,LA,,KENNER,$3.15,$3.15,securus,07-20-22
LOCAL,LA,,SHREVEPORT,$3.15,$3.15,securus,07-20-22
LOCAL,LA,,SLIDELL,$3.15,$3.15,securus,07-20-22
LOCAL,MI,,FLINT,$3.15,$3.15,securus,07-20-22
LOCAL,MI,,HOLLAND,$3.15,$3.15,securus,07-20-22
LOCAL,MI,,LANSING,$3.15,$3.15,securus,07-20-22
LOCAL,MI,,NILES,$3.15,$3.15,securus,07-20-22
LOCAL,MI,,OAK PARK,$3.15,$3.15,viapath,07-20-22
LOCAL,MN,,BROOKLYN PARK,$3.15,$3.15,securus,07-20-22
LOCAL,MO,,ARNOLD,$3.15,$3.15,securus,07-20-22
LOCAL,MO,,AURORA,$3.15,$3.15,securus,07-20-22
LOCAL,MO,,BERKELEY,$3.15,$3.15,securus,07-20-22
LOCAL,MO,,BLUE SPRINGS,$3.15,$3.15,securus,07-20-22
LOCAL,MO,,FESTUS,$3.15,$3.15,securus,07-20-22
LOCAL,MO,,LEE'S SUMMIT,$3.15,$3.15,securus,07-20-22
LOCAL,MO,,MONETT,$3.15,$3.15,securus,07-20-22
LOCAL,MO,,SCOTT CITY,$3.15,$3.15,securus,07-20-22
LOCAL,MO,,SIKESTON,$3.15,$3.15,securus,07-20-22
LOCAL,MO,,ST PETERS,$3.15,$3.15,securus,07-20-22
LOCAL,MT,,ANACONDA,$3.15,$3.15,securus,07-20-22
LOCAL,NM,,HOBBS,$2.25,$2.25,securus,07-20-22
LOCAL,NV,,CARSON CITY,$3.15,$3.15,ics,07-20-22
LOCAL,NV,,NORTH LAS VEGAS,$3.15,$3.15,securus,07-20-22
LOCAL,OH,,BEDFORD,$3.15,$3.15,securus,07-20-22
LOCAL,OH,,BEDFORD HEIGHTS,$2.40,$2.40,securus,07-20-22
LOCAL,OH,,EAST CLEVELAND,$3.15,$3.15,viapath,07-20-22
LOCAL,OH,,FAIRBORN,$3.15,$3.15,securus,07-20-22
LOCAL,OH,,LAKEWOOD,$3.15,$3.15,viapath,07-20-22
LOCAL,OH,,MAPLE HEIGHTS,$3.15,$3.15,securus,07-20-22
LOCAL,OH,,MIDDLEPORT,$3.15,$3.15,securus,07-20-22
LOCAL,OH,,NORTH ROYALTON,$3.15,$3.15,securus,07-20-22
LOCAL,OH,,PARMA,$2.10,$2.10,securus,07-20-22
LOCAL,OH,,PARMA HEIGHTS,$5.40,$3.15,viapath,07-20-22
LOCAL,OH,,RICHMOND HEIGHTS,$5.40,$3.15,viapath,07-20-22
LOCAL,OH,,SOLON,$3.15,$3.15,viapath,07-20-22
LOCAL,OH,,STRONGSVILLE,$3.15,$3.15,securus,07-20-22
LOCAL,OH,,WESTLAKE,$3.15,$3.15,viapath,07-20-22
LOCAL,OH,,ZANESVILLE,$3.15,$3.15,viapath,07-20-22
LOCAL,OK,,DELAWARE,$3.15,$3.15,securus,07-20-22
LOCAL,OR,,WARM SPRINGS,$3.00,$3.15,viapath,07-20-22
LOCAL,PA,,PHILADELPHIA,$1.35,$1.35,viapath,07-20-22
LOCAL,SC,,ANDERSON,$3.15,$3.15,securus,07-20-22
LOCAL,SC,,ROCK HILL,$3.15,$3.15,securus,07-20-22
LOCAL,TN,,JOHNSON CITY,$3.15,$3.15,securus,07-20-22
LOCAL,TX,,ARLINGTON,$3.15,$3.15,viapath,07-20-22
LOCAL,TX,,DESOTO,$3.15,$3.15,securus,07-20-22
LOCAL,TX,,DUNCANVILLE,$7.35,$3.15,viapath,07-20-22
LOCAL,TX,,GARLAND,$3.15,$3.15,securus,07-20-22
LOCAL,TX,,GRAND PRAIRIE,$3.15,$3.15,securus,07-20-22
LOCAL,TX,,IRVING,$3.15,$3.15,securus,07-20-22
LOCAL,TX,,KELLER,$3.15,$3.15,viapath,07-20-22
LOCAL,TX,,MESQUITE,$3.15,$3.15,securus,07-20-22
LOCAL,TX,,MIDLOTHIAN,$3.15,$3.15,securus,07-20-22
LOCAL,TX,,PASADENA,$3.15,$3.15,viapath,07-20-22
LOCAL,TX,,PECOS,$3.15,$3.15,viapath,07-20-22
LOCAL,TX,,PLANO,$3.15,$3.15,securus,07-20-22
LOCAL,UT,,SALT LAKE,$1.50,$1.50,viapath,07-20-22
LOCAL,VA,,ALEXANDRIA,$3.00,$3.00,securus,07-20-22
LOCAL,VA,,BRISTOL,$3.15,$3.15,securus,07-20-22
LOCAL,VA,,CHESAPEAKE,$3.15,$3.15,securus,07-20-22
LOCAL,VA,,DANVILLE,$3.15,$3.15,ics,07-20-22
LOCAL,VA,,HAMPTON,$1.95,$1.95,viapath,07-20-22
LOCAL,VA,,NEWPORT NEWS,$3.00,$3.00,securus,07-20-22
LOCAL,VA,,NORFOLK,$2.40,$2.40,viapath,07-20-22
LOCAL,VA,,RICHMOND,$1.35,$1.35,viapath,07-20-22
LOCAL,VA,,ROANOKE,$1.95,$1.95,viapath,07-20-22
LOCAL,VA,,SALEM,$2.25,$2.25,viapath,07-20-22
LOCAL,VA,,VIRGINIA BEACH,$1.65,$1.65,viapath,07-20-22
LOCAL,WA,,ABERDEEN,$3.15,$3.15,securus,07-20-22
LOCAL,WA,,ISSAQUAH,$3.15,$3.15,viapath,07-20-22
LOCAL,WA,,KENT,$3.15,$3.15,securus,07-20-22
LOCAL,WA,,MARYSVILLE,$3.15,$3.15,securus,07-20-22
