type,state,county,city,in_state_rate,out_state_rate,provider_company,date_created
COUNTY,AK,ALEUTIANS EAST BOROUGH,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,ALEUTIANS WEST CENSUS AREA,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,ANCHORAGE MUNICIPALITY,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,BETHEL CENSUS AREA,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,BRISTOL BAY BOROUGH,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,DENALI BOROUGH,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,DILLINGHAM CENSUS AREA,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,FAIRBANKS NORTH STAR BOROUGH,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,HAINES BOROUGH,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,HOONAH-ANGOON CENSUS AREA,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,JUNEAU CITY AND BOROUGH,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,KENAI PENINSULA BOROUGH,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,KETCHIKAN GATEWAY BOROUGH,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,KODIAK ISLAND BOROUGH,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,KUSILVAK CENSUS AREA,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,LAKE AND PENINSULA BOROUGH,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,MATANUSKA-SUSITNA BOROUGH,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,NOME CENSUS AREA,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,NORTH SLOPE BOROUGH,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,NORTHWEST ARCTIC BOROUGH,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,PETERSBURG CENSUS AREA,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,PRINCE OF WALES-HYDER CENSUS AREA,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,SITKA CITY AND BOROUGH,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,SKAGWAY MUNICIPALITY,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,SOUTHEAST FAIRBANKS CENSUS AREA,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,VALDEZ-CORDOVA CENSUS AREA,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,WADE HAMPTON CENSUS AREA,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,WRANGELL CITY AND BOROUGH,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,YAKUTAT CITY AND BOROUGH,,$2.10,$2.10,securus, 08-06-24
COUNTY,AK,YUKON-KOYUKUK CENSUS AREA,,$2.10,$2.10,securus, 08-06-24
COUNTY,AL,AUTAUGA,,$3.30,$3.15,amtel, 08-06-24
COUNTY,AL,BALDWIN,,$3.15,$3.15,ics, 08-06-24
COUNTY,AL,BARBOUR,,$3.15,$3.15,paytel, 08-06-24
COUNTY,AL,BIBB,,$3.15,$3.15,paytel, 08-06-24
COUNTY,AL,CALHOUN,,$4.50,$3.15,amtel, 08-06-24
COUNTY,AL,CHILTON,,$3.15,$3.15,securus, 08-06-24
COUNTY,AL,CLEBURNE,,$3.15,$3.15,securus, 08-06-24
COUNTY,AL,COFFEE,,$4.20,$3.15,amtel, 08-06-24
COUNTY,AL,COLBERT,,$3.15,$3.15,securus, 08-06-24
COUNTY,AL,DALE,,$3.15,$3.15,ics, 08-06-24
COUNTY,AL,ETOWAH,,$3.15,$3.15,securus, 08-06-24
COUNTY,AL,HOUSTON,,$3.15,$3.15,ics, 08-06-24
COUNTY,AL,LAUDERDALE,,$3.15,$3.15,viapath, 08-06-24
COUNTY,AL,LOWNDES,,$3.30,$3.15,amtel, 08-06-24
COUNTY,AL,MACON,,$3.75,$3.15,amtel, 08-06-24
COUNTY,AL,MARENGO,,$3.75,$3.15,amtel, 08-06-24
COUNTY,AL,MOBILE,,$3.75,$2.40,viapath, 08-06-24
COUNTY,AL,MONTGOMERY,,$1.62,$2.52,ics, 08-06-24
COUNTY,AL,MORGAN,,$3.15,$3.15,ics, 08-06-24
