type,state,county,city,in_state_rate,out_state_rate,provider_company,date_created
STATE,AK,,,$2.10,$2.10,securus,2024-11-11
STATE,AL,,,$1.20,$1.20,securus,2024-11-11
STATE,AR,,,$2.10,$2.10,securus,2024-11-11
STATE,AZ,,,$1.14,$1.14,ics,2024-11-11
STATE,CA,,,$0.00,$0.00,viapath,2024-11-11
STATE,CO,,,$0.18,$0.18,securus,2024-11-11
STATE,CT,,,$0.00,$0.00,securus,2024-11-11
STATE,DE,,,$0.60,$0.60,viapath,2024-11-11
STATE,FL,,,$2.03,$2.03,viapath,2024-11-11
STATE,GA,,,$2.10,$2.10,securus,2024-11-11
STATE,HI,,,$0.81,$0.81,viapath,2024-11-11
STATE,IA,,,$1.65,$1.65,ics,2024-11-11
STATE,ID,,,$1.20,$1.20,ics,2024-11-11
STATE,IL,,,$0.14,$0.14,securus,2024-11-11
STATE,IN,,,$2.10,$2.10,viapath,2024-11-11
STATE,KS,,,$1.05,$1.05,ics,2024-11-11
STATE,KY,,,$2.10,$2.10,securus,2024-11-11
STATE,LA,,,$2.10,$2.10,securus,2024-11-11
STATE,MA,,,$0.00,$0.00,securus,2024-11-11
STATE,MD,,,$0.48,$0.48,viapath,2024-11-11
STATE,ME,,,$1.35,$1.35,viapath,2024-11-11
STATE,MI,,,$1.10,$1.10,viapath,2024-11-11
STATE,MN,,,$0.00,$0.00,viapath,2024-11-11
STATE,MO,,,$0.75,$0.75,securus,2024-11-11
STATE,MS,,,$0.30,$0.30,viapath,2024-11-11
STATE,MT,,,$0.90,$0.90,ics,2024-11-11
STATE,NC,,,$1.50,$1.50,viapath,2024-11-11
STATE,ND,,,$1.19,$1.19,securus,2024-11-11
STATE,NE,,,$0.49,$0.49,viapath,2024-11-11
STATE,NH,,,$0.20,$0.20,viapath,2024-11-11
STATE,NJ,,,$0.66,$0.66,viapath,2024-11-11
STATE,NM,,,$1.20,$1.20,securus,2024-11-11
STATE,NV,,,$1.50,$1.50,securus,2024-11-11
STATE,NY,,,$0.42,$0.42,securus,2024-11-11
STATE,OH,,,$0.30,$0.30,viapath,2024-11-11
STATE,OK,,,$2.10,$2.10,securus,2024-11-11
STATE,OR,,,$1.35,$1.35,ics,2024-11-11
STATE,PA,,,$0.89,$0.89,securus,2024-11-11
STATE,RI,,,$0.44,$0.44,securus,2024-11-11
STATE,SC,,,$0.83,$0.83,viapath,2024-11-11
STATE,SD,,,$0.90,$0.90,viapath,2024-11-11
STATE,TN,,,$1.13,$1.13,viapath,2024-11-11
STATE,TX,,,$0.90,$0.90,securus,2024-11-11
STATE,UT,,,$1.50,$1.50,viapath,2024-11-11
STATE,VA,,,$0.61,$0.61,viapath,2024-11-11
STATE,VT,,,$0.59,$1.04,viapath,2024-11-11
STATE,WA,,,$0.75,$0.75,securus,2024-11-11
STATE,WI,,,$0.90,$0.90,ics,2024-11-11
STATE,WV,,,$0.60,$0.60,viapath,2024-11-11
STATE,WY,,,$1.65,$1.65,ics,2024-11-11
STATE,FBOP,,,$0.00,$0.00,viapath,2024-11-11
