type,state,county,city,in_state_rate,out_state_rate,provider_company,date_created
COUNTY,AK,ALEUTIANS EAST BOROUGH,,0.9,0.9,securus,2025-09-12
COUNTY,AK,ALEUTIANS WEST CENSUS AREA,,0.9,0.9,securus,2025-09-12
COUNTY,AK,ANCHORAGE MUNICIPALITY,,0.9,0.9,securus,2025-09-12
COUNTY,AK,BETHEL CENSUS AREA,,0.9,0.9,securus,2025-09-12
COUNTY,AK,BRISTOL BAY BOROUGH,,0.9,0.9,securus,2025-09-12
COUNTY,AK,DENALI BOROUGH,,0.9,0.9,securus,2025-09-12
COUNTY,AK,DILLINGHAM CENSUS AREA,,0.9,0.9,securus,2025-09-12
COUNTY,AK,FAIRBANKS NORTH STAR BOROUGH,,0.9,0.9,securus,2025-09-12
COUNTY,AK,HAINES BOROUGH,,0.9,0.9,securus,2025-09-12
COUNTY,AK,HOONAH-ANGOON CENSUS AREA,,0.9,0.9,securus,2025-09-12
COUNTY,AK,JUNEAU CITY AND BOROUGH,,0.9,0.9,securus,2025-09-12
COUNTY,AK,KENAI PENINSULA BOROUGH,,0.9,0.9,securus,2025-09-12
COUNTY,AK,KETCHIKAN GATEWAY BOROUGH,,0.9,0.9,securus,2025-09-12
COUNTY,AK,KODIAK ISLAND BOROUGH,,0.9,0.9,securus,2025-09-12
COUNTY,AK,KUSILVAK CENSUS AREA,,0.9,0.9,securus,2025-09-12
COUNTY,AK,LAKE AND PENINSULA BOROUGH,,0.9,0.9,securus,2025-09-12
COUNTY,AK,MATANUSKA-SUSITNA BOROUGH,,0.9,0.9,securus,2025-09-12
COUNTY,AK,NOME CENSUS AREA,,0.9,0.9,securus,2025-09-12
COUNTY,AK,NORTH SLOPE BOROUGH,,0.9,0.9,securus,2025-09-12
COUNTY,AK,NORTHWEST ARCTIC BOROUGH,,0.9,0.9,securus,2025-09-12
COUNTY,AK,PETERSBURG CENSUS AREA,,0.9,0.9,securus,2025-09-12
COUNTY,AK,PRINCE OF WALES-HYDER CENSUS AREA,,0.9,0.9,securus,2025-09-12
COUNTY,AK,SITKA CITY AND BOROUGH,,0.9,0.9,securus,2025-09-12
COUNTY,AK,SKAGWAY MUNICIPALITY,,0.9,0.9,securus,2025-09-12
COUNTY,AK,SOUTHEAST FAIRBANKS CENSUS AREA,,0.9,0.9,securus,2025-09-12
COUNTY,AK,VALDEZ-CORDOVA CENSUS AREA,,0.9,0.9,securus,2025-09-12
COUNTY,AK,WADE HAMPTON CENSUS AREA,,0.9,0.9,securus,2025-09-12
COUNTY,AK,WRANGELL CITY AND BOROUGH,,0.9,0.9,securus,2025-09-12
COUNTY,AK,YAKUTAT CITY AND BOROUGH,,0.9,0.9,securus,2025-09-12
COUNTY,AK,YUKON-KOYUKUK CENSUS AREA,,0.9,0.9,securus,2025-09-12
COUNTY,AL,AUTAUGA,,3.3,3.15,amtel,2025-09-12
COUNTY,AL,BARBOUR,,3.15,3.15,paytel,2025-09-12
COUNTY,AL,BIBB,,3.15,3.15,paytel,2025-09-12
COUNTY,AL,CALHOUN,,4.5,3.15,amtel,2025-09-12
COUNTY,AL,CHILTON,,3.15,3.15,securus,2025-09-12
COUNTY,AL,COFFEE,,4.2,3.15,amtel,2025-09-12
COUNTY,AL,COLBERT,,3.15,3.15,securus,2025-09-12
