type,state,county,city,in_state_rate,out_state_rate,provider_company,date_created,fips_id,geo_lat,geo_long
STATE,AK,,,$0.90,$0.90,securus,2025-10-14,02,,
STATE,AL,,,$1.20,$1.20,ics,2025-10-14,01,,
STATE,AR,,,$0.90,$0.90,securus,2025-10-14,05,,
STATE,AZ,,,$0.90,$0.90,securus,2025-10-14,04,,
STATE,CA,,,$0.00,$0.00,viapath,2025-10-14,06,,
STATE,CO,,,$0.08,$0.08,securus,2025-10-14,08,,
STATE,CT,,,$0.00,$0.00,securus,2025-10-14,09,,
STATE,DE,,,$0.60,$0.60,viapath,2025-10-14,10,,
STATE,FL,,,$2.03,$2.03,viapath,2025-10-14,12,,
STATE,GA,,,$0.90,$0.90,securus,2025-10-14,13,,
STATE,HI,,,$0.81,$0.81,viapath,2025-10-14,15,,
STATE,IA,,,$0.90,$0.90,ics,2025-10-14,19,,
STATE,ID,,,$0.90,$0.90,ics,2025-10-14,16,,
STATE,IL,,,$0.12,$0.12,ics,2025-10-14,17,,
STATE,IN,,,$0.90,$0.90,viapath,2025-10-14,18,,
STATE,KS,,,$0.90,$0.90,ics,2025-10-14,20,,
STATE,KY,,,$2.10,$2.10,securus,2025-10-14,21,,
STATE,LA,,,$0.90,$0.90,securus,2025-10-14,22,,
STATE,MA,,,$0.00,$0.00,securus,2025-10-14,25,,
STATE,MD,,,$0.48,$0.48,viapath,2025-10-14,24,,
STATE,ME,,,$0.90,$0.90,viapath,2025-10-14,23,,
STATE,MI,,,$1.10,$1.10,viapath,2025-10-14,26,,
STATE,MN,,,$0.00,$0.00,viapath,2025-10-14,27,,
STATE,MO,,,$0.75,$0.75,securus,2025-10-14,29,,
STATE,MS,,,$0.30,$0.30,viapath,2025-10-14,28,,
STATE,MT,,,$0.90,$0.90,ics,2025-10-14,30,,
STATE,NC,,,$1.50,$1.50,viapath,2025-10-14,37,,
STATE,ND,,,$1.19,$1.19,securus,2025-10-14,38,,
STATE,NE,,,$0.49,$0.49,viapath,2025-10-14,31,,
STATE,NH,,,$0.20,$0.20,viapath,2025-10-14,33,,
STATE,NJ,,,$0.51,$0.51,viapath,2025-10-14,34,,
STATE,NM,,,$0.60,$0.60,smart_communications,2025-10-14,35,,
STATE,NV,,,$1.50,$1.50,viapath,2025-10-14,32,,
STATE,NY,,,$0.00,$0.00,securus,2025-10-14,36,,
STATE,OH,,,$0.30,$0.30,viapath,2025-10-14,39,,
STATE,OK,,,$2.10,$2.10,securus,2025-10-14,40,,
STATE,OR,,,$1.35,$1.35,ics,2025-10-14,41,,
STATE,PA,,,$0.63,$0.63,securus,2025-10-14,42,,
STATE,RI,,,$0.44,$0.44,securus,2025-10-14,44,,
STATE,SC,,,$0.83,$0.83,viapath,2025-10-14,45,,
STATE,SD,,,$0.90,$0.90,viapath,2025-10-14,46,,
STATE,TN,,,$1.13,$1.13,viapath,2025-10-14,47,,
STATE,TX,,,$0.90,$0.90,securus,2025-10-14,48,,
STATE,UT,,,$1.50,$1.50,viapath,2025-10-14,49,,
STATE,VA,,,$0.35,$0.35,viapath,2025-10-14,51,,
STATE,VT,,,$0.42,$0.90,ics,2025-10-14,50,,
STATE,WA,,,$0.75,$0.75,securus,2025-10-14,53,,
STATE,WI,,,$0.90,$0.90,ics,2025-10-14,55,,
STATE,WV,,,$0.60,$0.60,viapath,2025-10-14,54,,
STATE,WY,,,$1.65,$1.65,ics,2025-10-14,56,,
STATE,FBOP,,,$0.00,$0.00,ics,2025-10-14,,,
