type,state,county,city,in_state_rate,out_state_rate,provider_company,date_created,fips_id,geo_lat,geo_long
LOCAL,AL,,FAIRHOPE,$3.00,$3.00,viapath,2026-01-14,,30.5231647,-87.9028458
LOCAL,AL,,HOOVER,$3.15,$3.15,ics,2026-01-14,,33.3502930,-86.8511230
LOCAL,AL,,SHEFFIELD,$1.80,$1.80,securus,2026-01-14,,34.7650888,-87.6986407
LOCAL,AL,BARBOUR,EUFAULA,$1.80,$1.80,securus,2026-01-14,,31.8912717,-85.1454876
LOCAL,AL,COLBERT,TUSCUMBIA,$1.80,$1.80,securus,2026-01-14,,34.7312005,-87.7025300
LOCAL,AL,JEFFERSON,BIRMINGHAM,$1.80,$1.80,viapath,2026-01-14,,33.5206824,-86.8024326
LOCAL,AR,,LAKE VILLAGE,$3.15,$3.15,securus,2026-01-14,,33.3294799,-91.2850584
LOCAL,AZ,,APACHE JUNCTION,$1.80,$1.80,viapath,2026-01-14,,33.4150485,-111.5495770
LOCAL,AZ,,GLENDALE,$1.80,$1.80,viapath,2026-01-14,,33.5386858,-112.1859940
LOCAL,AZ,APACHE,CHINLE,$1.80,$1.80,viapath,2026-01-14,,36.1501434,-109.5670685
LOCAL,AZ,APACHE,WINDOW ROCK,$1.80,$1.80,viapath,2026-01-14,,35.6671650,-109.0634165
LOCAL,AZ,MARICOPA,AVONDALE,$0.00,$0.00,viapath,2026-01-14,,33.4355977,-112.3496020
LOCAL,AZ,PINAL,AK CHIN,$2.70,$2.70,securus,2026-01-14,,32.2878783,-112.0084064
LOCAL,CA,,HEMET,$0.00,$0.00,securus,2026-01-14,,33.7475203,-116.9719684
LOCAL,CA,,LOMPOC,$0.00,$0.00,securus,2026-01-14,,34.6391501,-120.4579009
LOCAL,CA,KERN,TAFT,$0.00,$0.00,securus,2026-01-14,,35.1424671,-119.4565070
LOCAL,CO,ARAPAHOE,AURORA,$3.15,$3.15,securus,2026-01-14,,39.7405111,-104.8309940
LOCAL,CO,BROOMFIELD,BROOMFIELD,$2.70,$2.70,securus,2026-01-14,,39.9403995,-105.0520800
LOCAL,FL,COLUMBIA,LAKE CITY,$2.03,$2.03,viapath,2026-01-14,,30.1894252,-82.6394803
LOCAL,FL,DUVAL,JACKSONVILLE,$4.20,$2.40,viapath,2026-01-14,,30.3262247,-81.6579179
LOCAL,FL,GLADES,MOORE HAVEN,$1.92,$3.15,amtel,2026-01-14,,26.8331174,-81.0931234
LOCAL,GA,,EAST POINT,$1.80,$1.80,viapath,2026-01-14,,33.6795531,-84.4393724
LOCAL,GA,COBB,ACWORTH,$2.70,$3.15,viapath,2026-01-14,,34.0659329,-84.6768796
LOCAL,GA,COBB,SMYRNA,$1.80,$1.80,securus,2026-01-14,,33.8838870,-84.5147454
LOCAL,GA,FULTON,ATLANTA,$2.70,$2.70,ics,2026-01-14,,33.7544657,-84.3898151
LOCAL,GA,FULTON,UNION CITY,$2.70,$2.70,ics,2026-01-14,,33.5870558,-84.5424299
LOCAL,IL,,ALTON,$3.15,$3.15,securus,2026-01-14,,38.8908583,-90.1843091
LOCAL,IL,,COLLINSVILLE,$1.80,$1.80,securus,2026-01-14,,38.6703267,-89.9845476
LOCAL,IL,,GRANITE,$1.80,$1.80,securus,2026-01-14,,41.2576051,-87.8130175
LOCAL,IN,,ELKHART,$3.15,$3.15,securus,2026-01-14,,41.6012796,-85.8590603
LOCAL,IN,LAKE,HAMMOND,$2.10,$2.10,viapath,2026-01-14,,41.6173959,-87.5220108
LOCAL,KS,MITCHELL,BELOIT,$0.90,$0.90,ics,2026-01-14,,39.4586840,-98.1082820
LOCAL,LA,,BERWICK,$1.80,$1.80,securus,2026-01-14,,29.6932795,-91.2234005
LOCAL,LA,,SLIDELL,$3.15,$3.15,securus,2026-01-14,,30.2751945,-89.7811745
LOCAL,LA,CADDO,SHREVEPORT,$3.15,$3.15,securus,2026-01-14,,32.5135356,-93.7477839
LOCAL,MI,,FLINT,$3.15,$3.15,securus,2026-01-14,,43.0161693,-83.6900211
LOCAL,MI,,OAK PARK,$3.15,$3.15,viapath,2026-01-14,,42.4595317,-83.1821445
LOCAL,MN,,BROOKLYN PARK,$3.15,$3.15,securus,2026-01-14,,45.1004807,-93.3443585
LOCAL,MN,ST LOUIS,DULUTH,$3.75,$3.15,reliance,2026-01-14,,46.7838287,-92.1052679
LOCAL,MN,ST LOUIS,HIBBING,$3.75,$3.15,reliance,2026-01-14,,47.4271550,-92.9376890
LOCAL,MN,ST LOUIS,VIRGINIA,$3.75,$3.15,reliance,2026-01-14,,47.5232600,-92.5365710
LOCAL,MO,,BERKELEY,$1.80,$1.80,securus,2026-01-14,,38.7544952,-90.3312256
LOCAL,MO,,BLUE SPRINGS,$1.80,$1.80,securus,2026-01-14,,39.0173160,-94.2822650
LOCAL,MO,,LEE'S SUMMIT,$1.80,$1.80,securus,2026-01-14,,38.9107156,-94.3821295
LOCAL,MO,,SCOTT CITY,$1.80,$1.80,securus,2026-01-14,,37.2163497,-89.5261244
LOCAL,MO,,ST PETERS,$1.80,$1.80,securus,2026-01-14,,38.7916120,-90.5958468
LOCAL,NM,,HOBBS,$1.80,$1.80,securus,2026-01-14,,32.7027017,-103.1355302
LOCAL,NM,MCKINLEY,CROWNPOINT,$2.25,$2.25,paytel,2026-01-14,,35.6890420,-108.1492088
LOCAL,NM,SAN JUAN,SHIPROCK,$1.50,$1.50,viapath,2026-01-14,,36.7864240,-108.6847040
LOCAL,NV,CLARK,HENDERSON,$3.15,$3.15,securus,2026-01-14,,36.0319602,-114.9822716
LOCAL,NV,CLARK,NORTH LAS VEGAS,$1.05,$1.05,securus,2026-01-14,,36.2005191,-115.1214745
LOCAL,NY,,NEW YORK CITY,$0.00,$0.00,securus,2026-01-14,,40.7127281,-74.0060152
LOCAL,OH,,BEDFORD,$3.15,$3.15,securus,2026-01-14,,41.3931100,-81.5365090
LOCAL,OH,,LAKEWOOD,$3.15,$3.15,viapath,2026-01-14,,41.4819932,-81.7981908
LOCAL,OH,,STRONGSVILLE,$3.15,$3.15,securus,2026-01-14,,41.3144733,-81.8351100
LOCAL,OH,ASHTABULA,ASHTABULA,$1.80,$1.80,securus,2026-01-14,,41.8647873,-80.7841284
LOCAL,OH,CUYAHOGA,BEDFORD HEIGHTS,$3.15,$3.15,securus,2026-01-14,,41.4143826,-81.5061146
LOCAL,OH,CUYAHOGA,MAPLE HEIGHTS,$1.80,$1.80,securus,2026-01-14,,41.4154413,-81.5655597
LOCAL,OH,CUYAHOGA,NORTH ROYALTON,$3.15,$3.15,securus,2026-01-14,,41.3136644,-81.7245739
LOCAL,OH,CUYAHOGA,PARMA,$1.80,$1.80,securus,2026-01-14,,41.3822398,-81.7355692
LOCAL,OH,MONTGOMERY,KETTERING,$1.80,$1.80,paytel,2026-01-14,,39.6895036,-84.1688274
LOCAL,OH,MUSKINGUM,ZANESVILLE,$3.15,$3.15,viapath,2026-01-14,,39.9401426,-82.0050190
LOCAL,OR,JEFFERSON,WARM SPRINGS,$3.00,$3.15,viapath,2026-01-14,,44.7628855,-121.2595919
LOCAL,PA,PHILADELPHIA,PHILADELPHIA,$0.90,$0.90,viapath,2026-01-14,,39.9527237,-75.1635262
LOCAL,SC,ANDERSON,ANDERSON,$1.35,$1.35,securus,2026-01-14,,34.5258335,-82.6529620
LOCAL,SD,TRIPP,WINNER,$3.75,$3.15,reliance,2026-01-14,,43.3766670,-99.8590070
LOCAL,TX,,DESOTO,$3.15,$3.15,securus,2026-01-14,,32.5897831,-96.8570183
LOCAL,TX,,KELLER,$3.15,$3.15,viapath,2026-01-14,,32.9299655,-97.2271249
LOCAL,TX,,MESQUITE,$3.15,$3.15,securus,2026-01-14,,32.7666103,-96.5994720
LOCAL,TX,DALLAS,GARLAND,$3.15,$3.15,securus,2026-01-14,,32.9126240,-96.6388833
LOCAL,TX,DALLAS,GRAND PRAIRIE,$1.80,$1.80,securus,2026-01-14,,32.7459645,-96.9977846
LOCAL,TX,DALLAS,IRVING,$3.15,$3.15,securus,2026-01-14,,32.8295183,-96.9442177
